,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Building140.47111183278224_percentage,Building_percentage
10,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,07-05-2016,2.5,3067.0,2.0,1.0,0.0,181.0,72.54000354274918,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,,
11,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,07-05-2016,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,0.8571428571428571,0.8571428571428571
12,Abbotsford,121/56 Nicholson St,2,u,880000.0,PI,Biggin,07-11-2016,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,0.019105312208760484,0.019105312208760484
13,Abbotsford,17 Raphael St,4,h,880000.0,W,Biggin,07-11-2016,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,Yarra,-37.8066,144.9936,Northern Metropolitan,4019.0,0.6391304347826087,0.6391304347826087
14,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,08-10-2016,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,0.41796875,0.41796875
15,Abbotsford,217 Langridge St,3,h,1000000.0,S,Jellis,08-10-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
16,Abbotsford,18a Mollison St,2,t,745000.0,S,Jellis,08-10-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
17,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,08-10-2016,2.5,3067.0,1.0,1.0,1.0,0.0,0.0,,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,,
18,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,08-10-2016,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,0.3409090909090909,0.3409090909090909
19,Abbotsford,403/609 Victoria St,2,u,542000.0,S,Dingle,08-10-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
20,Abbotsford,2 Rich St,2,h,880000.0,SP,Biggin,10-12-2016,2.5,3067.0,2.0,1.0,1.0,176.0,80.0,1925.0,Yarra,-37.7998,144.9972,Northern Metropolitan,4019.0,0.45454545454545453,0.45454545454545453
21,Abbotsford,25/84 Trenerry Cr,2,u,760000.0,SP,Biggin,10-12-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
22,Abbotsford,106/119 Turner St,1,u,481000.0,SP,Purplebricks,10-12-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
23,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12-11-2016,2.5,3067.0,2.0,2.0,1.0,0.0,0.0,,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,,
24,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12-11-2016,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,0.8878504672897196,0.8878504672897196
25,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12-11-2016,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,inf,inf
26,Abbotsford,22 Park St,4,h,1985000.0,S,Biggin,12-11-2016,2.5,3067.0,,,,,85.5,,,-37.8084,144.9942,Northern Metropolitan,4019.0,,
27,Abbotsford,13/84 Trenerry Cr,1,u,500000.0,S,Biggin,12-11-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
28,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13-08-2016,2.5,3067.0,2.0,1.0,1.0,195.0,78.15083254605574,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,,
29,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14-05-2016,2.5,3067.0,1.0,1.0,1.0,0.0,0.0,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,,
30,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15-10-2016,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,0.40756302521008403,0.40756302521008403
31,Abbotsford,16/11 Nicholson St,3,u,880000.0,PI,Philip,16-04-2016,2.5,3067.0,3.0,2.0,2.0,0.0,129.0,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,inf,inf
32,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16-07-2016,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,0.9734513274336283,0.9734513274336283
33,Abbotsford,250 Langridge St,2,t,847000.0,S,Jellis,16-07-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
34,Abbotsford,16b Mollison St,2,h,880000.0,PI,Biggin,16-07-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
35,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16-07-2016,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,0.7608695652173914,0.7608695652173914
36,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17-09-2016,2.5,3067.0,3.0,1.0,0.0,183.0,73.34155054322154,,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,,
37,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17-09-2016,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,0.4866666666666667,0.4866666666666667
38,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18-03-2017,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,0.17307692307692307,0.17307692307692307
39,Abbotsford,1/1 Mayfield St,3,h,880000.0,SP,Nelson,18-03-2017,2.5,3067.0,3.0,2.0,1.0,119.0,167.0,2005.0,Yarra,-37.8082,144.9999,Northern Metropolitan,4019.0,1.403361344537815,1.403361344537815
40,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18-03-2017,2.5,3067.0,3.0,2.0,2.0,0.0,0.0,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,,
41,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18-03-2017,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,0.006293706293706294,0.006293706293706294
42,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18-06-2016,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,inf,inf
43,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18-06-2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,1.0887096774193548,1.0887096774193548
44,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19-11-2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,0.5782312925170068,0.5782312925170068
45,Abbotsford,65/80 Trenerry Cr,1,u,480000.0,S,Biggin,19-11-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
46,Abbotsford,119/52 Nicholson St,1,u,423500.0,S,hockingstuart,22-05-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
47,Abbotsford,8b Park St,4,h,880000.0,PI,Biggin,22-05-2016,2.5,3067.0,,,,,85.5,,,-37.8092,144.9941,Northern Metropolitan,4019.0,,
48,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22-08-2016,2.5,3067.0,1.0,1.0,1.0,0.0,0.0,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,,
49,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22-08-2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,1.0481927710843373,1.0481927710843373
50,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22-08-2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,inf,inf
51,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22-08-2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,1.3061224489795917,1.3061224489795917
52,Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23-04-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
53,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24-09-2016,2.5,3067.0,4.0,3.0,1.0,0.0,0.0,,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,,
54,Abbotsford,17/1 Abbot St,3,t,962000.0,SP,Jellis,25-02-2017,2.5,3067.0,,,,,85.5,,,-37.7972,144.9969,Northern Metropolitan,4019.0,,
55,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25-02-2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,0.12244897959183673,0.12244897959183673
56,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25-02-2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,0.7380952380952381,0.7380952380952381
57,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26-07-2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,inf,inf
58,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27-11-2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,0.5617283950617284,0.5617283950617284
59,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27-11-2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,1.0666666666666667,1.0666666666666667
60,Abbotsford,4/328 Johnston St,2,u,880000.0,PI,Biggin,28-05-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
61,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28-05-2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,0.45054945054945056,0.45054945054945056
62,Abbotsford,82/84 Trenerry Cr,2,u,970000.0,SP,Biggin,28-05-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
63,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30-07-2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,0.47093023255813954,0.47093023255813954
64,Abbotsford,22 Park St,4,h,880000.0,W,Biggin,30-07-2016,2.5,3067.0,,,,,85.5,,,-37.8084,144.9942,Northern Metropolitan,4019.0,,
65,Abbotsford,40/80 Trenerry Cr,3,h,927000.0,S,Biggin,30-07-2016,2.5,3067.0,,,,,85.5,,,,,Northern Metropolitan,4019.0,,
66,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,03-09-2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,0.7425742574257426,0.7425742574257426
67,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,03-12-2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,inf,inf
68,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,04-03-2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,inf,inf
69,Airport West,5 Harrington Rd,3,h,880000.0,S,Brad,04-03-2017,13.5,3042.0,3.0,1.0,1.0,580.0,114.0,1960.0,Moonee Valley,-37.7235,144.8736,Western Metropolitan,3464.0,0.19655172413793104,0.19655172413793104
70,Airport West,23 Hart St,2,h,603000.0,S,Nelson,04-03-2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,0.3088235294117647,0.3088235294117647
71,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,04-03-2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,0.5606694560669456,0.5606694560669456
72,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,04-03-2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,0.4,0.4
73,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,04-03-2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,0.5119047619047619,0.5119047619047619
74,Airport West,4/9 West Ct,2,t,420000.0,VB,Barry,04-06-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
75,Airport West,1/36 York St,3,t,500000.0,VB,Nelson,04-06-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
76,Airport West,33 Bowes Av,5,h,1035000.0,S,Airport,06-08-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
77,Airport West,89 Bowes Av,4,h,960000.0,S,Barry,06-08-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
78,Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,06-08-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
79,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,06-08-2016,13.5,3042.0,2.0,1.0,1.0,620.0,248.47957014643364,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,,
80,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,06-08-2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,0.21273031825795644,0.21273031825795644
81,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,07-05-2016,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,0.19057377049180327,0.19057377049180327
82,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,07-05-2016,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,0.8181818181818182,0.8181818181818182
83,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,07-11-2016,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,0.5177304964539007,0.5177304964539007
84,Airport West,81a Roberts Rd,3,h,680000.0,VB,Nelson,08-10-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
85,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10-09-2016,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,0.7833333333333333,0.7833333333333333
86,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10-09-2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,0.1251175917215428,0.1251175917215428
87,Airport West,3/24 Elstone Av,3,u,600000.0,VB,Nelson,10-09-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
88,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10-12-2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,inf,inf
89,Airport West,37a North St,3,t,760000.0,PI,Barry,10-12-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
90,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11-02-2017,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,0.49056603773584906,0.49056603773584906
91,Airport West,1/69 Bowes Av,3,u,580000.0,VB,Nelson,12-11-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
92,Airport West,2/9 El Reno Cr,3,h,725000.0,PI,Ray,12-11-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
93,Airport West,92 McNamara Av,4,h,758000.0,S,Jellis,13-08-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
94,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13-08-2016,13.5,3042.0,2.0,1.0,1.0,192.0,76.9485120453472,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,,
95,Airport West,20 Creswell Av,3,h,970000.0,S,Barry,14-05-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
96,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14-05-2016,13.5,3042.0,3.0,2.0,2.0,596.0,238.86100614076526,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,,
97,Airport West,71 Bowes Av,4,h,985000.0,S,Barry,15-10-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
98,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15-10-2016,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,0.806060606060606,0.806060606060606
99,Airport West,2/112 Parer Rd,2,u,509500.0,SP,Nelson,15-10-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
100,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16-04-2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,0.11637487126673532,0.11637487126673532
101,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16-07-2016,13.5,3042.0,2.0,1.0,1.0,164.0,65.72685403873406,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,,
102,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16-07-2016,13.5,3042.0,3.0,2.0,2.0,657.0,263.30818965517244,,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,,
103,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16-07-2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,0.16339869281045752,0.16339869281045752
104,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16-07-2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,0.28431372549019607,0.28431372549019607
105,Airport West,75 King St,3,h,910000.0,S,McDonald,17-09-2016,13.5,3042.0,3.0,1.0,1.0,775.0,310.5994626830421,,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,,
106,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17-09-2016,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,0.5819209039548022,0.5819209039548022
107,Airport West,7 McNamara Av,3,h,715000.0,S,Barry,17-09-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
108,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18-03-2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,0.34594594594594597,0.34594594594594597
109,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18-03-2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,0.2985781990521327,0.2985781990521327
110,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18-03-2017,13.5,3042.0,3.0,1.0,3.0,614.0,246.07492914501654,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,,
111,Airport West,1/41 Hillside Gr,2,t,460000.0,VB,Nelson,18-06-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
112,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18-06-2016,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,0.6273291925465838,0.6273291925465838
113,Airport West,37 North St,3,t,825000.0,SP,Barry,19-11-2016,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,0.34812286689419797,0.34812286689419797
114,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22-05-2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,0.19516407599309155,0.19516407599309155
115,Airport West,7/42 York St,3,u,445000.0,S,Brad,22-05-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
116,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22-08-2016,13.5,3042.0,3.0,1.0,1.0,623.0,249.68189064714218,,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,,
117,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22-08-2016,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,0.5390070921985816,0.5390070921985816
118,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22-08-2016,13.5,3042.0,3.0,2.0,1.0,212.0,84.96398205007085,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,,
119,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23-04-2016,13.5,3042.0,3.0,1.0,2.0,612.0,245.27338214454417,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,,
120,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24-09-2016,13.5,3042.0,4.0,3.0,2.0,532.0,213.2115021256495,,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,,
121,Airport West,2/89 Marshall Rd,3,u,880000.0,VB,Barry,25-02-2017,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
122,Airport West,33 North St,3,h,720000.0,PI,Nelson,25-02-2017,13.5,3042.0,3.0,1.0,1.0,585.0,234.45249763816724,,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,,
123,Airport West,4/40 McNamara Av,2,u,474000.0,PI,Barry,26-07-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
124,Airport West,5/93 McNamara Av,2,t,490000.0,SP,Frank,26-07-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
125,Airport West,2/137 McNamara Av,3,h,405000.0,S,Ray,27-06-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
126,Airport West,1/46 Bowes Av,3,t,715000.0,S,Barry,27-11-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
127,Airport West,1/34 Elstone Av,3,u,671500.0,S,McDonald,27-11-2016,13.5,3042.0,,,,,134.0,,,,,Western Metropolitan,3464.0,,
128,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27-11-2016,13.5,3042.0,4.0,1.0,2.0,509.0,203.9937116202173,,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,,
129,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27-11-2016,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,0.23248407643312102,0.23248407643312102
